,,,,,,,,,,,,,,
,GESTION DES PIECES RETOURNEES,,,,,Aujourd'hui le Lundi 29/06/2026,,,,,,,,
,,,,,,,,,,,,,,
,DATE DE COMMANDE,REF DEMANDE,VENDEUR,FOURNISSEUR,NOM DU PRODUIT / PIÈCE,RÉF,QTÉ,DATE DE RETOUR,MOTIF RETOUR,TRAITEE OU PAS,DATE TRAITEMENT,STATUT CHAUFFEUR,DATE DE DÉPÔT,MOTIF SI REFUS
,2025-07-02 00:00:00,DMND/0207/5700,AYOUB,OTTOGO,DISTRIBUTION,,1.0,mer 02/07/25 à 14:38,Erreur magasin,OK,mer 02/07/25 à 14:44,,,
,2025-07-07 00:00:00,DMND/0407/8905,ABDELLAH,PSH,AMORTISSEUR ,,1.0,ven 04/07/25 à 16:37,Garantie,OK,ven 04/07/25 à 16:37,,,
,2025-07-04 00:00:00,DMND/0407/8202,MHAMED,ACR,KIT EMBRAYAGE,623353400.0,1.0,sam 05/07/25 à 10:26,Autre,OK,sam 05/07/25 à 10:28,,,
,2025-10-01 00:00:00,DMND/0110/3702,MHAMED,OTTOGO,KIT PRE MONTE,KP1140,1.0,mer 01/10/25 à 15:20,Erreur magasin,OK,mer 01/10/25 à 15:21,,mer 01/10/25 à 15:22,
,2025-10-23 00:00:00,DMND/2310/1164,MHAMED,OTTOGO,PLAQUETTE DE FREINS,LP1865,1.0,jeu 23/10/25 à 23:30,Erreur magasin,OK,jeu 23/10/25 à 23:30,,jeu 23/10/25 à 23:30,
,2025-10-29 00:00:00,DMND/2910/9048,MHAMED,OTTOGO,POMPE A EAU,WP1025,1.0,mer 29/10/25 à 10:13,Autre,OK,mer 29/10/25 à 10:15,,mer 29/10/25 à 13:13,
,2025-12-20 00:00:00,DMND/2012/7459,MHAMED,OTTOGO,EMBRAYAGE,826033.0,1.0,sam 20/12/25 à 23:57,Erreur magasin,OK,dim 21/12/25 à 00:00,,dim 21/12/25 à 00:01,
,2026-03-02 00:00:00,DMND/0203/5900,MHAMED,ACR,PLAQUETTE DE FREINS,37396.0,1.0,lun 02/03/26 à 00:09,Retour client,OK,lun 02/03/26 à 00:12,,dim 22/03/26 à 22:34,
,2026-03-28 00:00:00,DMND/2803/3586,MHAMED,ACR,,elh4392,1.0,sam 28/03/26 à 23:35,Retour client,OK,sam 28/03/26 à 23:36,🏢 Déposé chez fournisseur,sam 28/03/26 à 23:37,
